year,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,
index,621.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,329.0,NaN,693.0,NaN,NaN,NaN,NaN,NaN,629.0,NaN,235.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,638.0,NaN,NaN,NaN,559.0,
magnitude,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-292.0,NaN,364.0,NaN,NaN,NaN,NaN,NaN,-64.0,NaN,-394.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,403.0,NaN,NaN,NaN,-79.0,
duration,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.0,NaN,2.0,NaN,NaN,NaN,NaN,NaN,6.0,NaN,2.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.0,NaN,NaN,NaN,4.0,
rate,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-36.5,NaN,182.0,NaN,NaN,NaN,NaN,NaN,-10.666666666666666,NaN,-197.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.0,NaN,NaN,NaN,-19.75,
postMagnitude,-292.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,364.0,NaN,-64.0,NaN,NaN,NaN,NaN,NaN,-394.0,NaN,403.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-79.0,NaN,NaN,NaN,NaN,
postDuration,8.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.0,NaN,6.0,NaN,NaN,NaN,NaN,NaN,2.0,NaN,13.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.0,NaN,NaN,NaN,NaN,
postRate,-36.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,182.0,NaN,-10.666666666666666,NaN,NaN,NaN,NaN,NaN,-197.0,NaN,31.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-19.75,NaN,NaN,NaN,NaN,
