year,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,
index,51.0,NaN,NaN,NaN,NaN,186.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,300.0,NaN,141.0,NaN,NaN,333.0,NaN,NaN,NaN,NaN,47.0,NaN,NaN,NaN,NaN,NaN,NaN,37.0,
magnitude,NaN,NaN,NaN,NaN,NaN,135.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,114.0,NaN,-159.0,NaN,NaN,192.0,NaN,NaN,NaN,NaN,-286.0,NaN,NaN,NaN,NaN,NaN,NaN,-10.0,
duration,NaN,NaN,NaN,NaN,NaN,5.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.0,NaN,2.0,NaN,NaN,3.0,NaN,NaN,NaN,NaN,5.0,NaN,NaN,NaN,NaN,NaN,NaN,7.0,
rate,NaN,NaN,NaN,NaN,NaN,27.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.76923076923077,NaN,-79.5,NaN,NaN,64.0,NaN,NaN,NaN,NaN,-57.2,NaN,NaN,NaN,NaN,NaN,NaN,-1.4285714285714286,
postMagnitude,135.0,NaN,NaN,NaN,NaN,114.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-159.0,NaN,192.0,NaN,NaN,-286.0,NaN,NaN,NaN,NaN,-10.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
postDuration,5.0,NaN,NaN,NaN,NaN,13.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.0,NaN,3.0,NaN,NaN,5.0,NaN,NaN,NaN,NaN,7.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
postRate,27.0,NaN,NaN,NaN,NaN,8.76923076923077,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-79.5,NaN,64.0,NaN,NaN,-57.2,NaN,NaN,NaN,NaN,-1.4285714285714286,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
