year,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,
index,564.0,NaN,NaN,NaN,NaN,NaN,615.0,NaN,NaN,444.0,614.0,NaN,NaN,NaN,NaN,NaN,418.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,620.0,
magnitude,NaN,NaN,NaN,NaN,NaN,NaN,51.0,NaN,NaN,-171.0,170.0,NaN,NaN,NaN,NaN,NaN,-196.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,202.0,
duration,NaN,NaN,NaN,NaN,NaN,NaN,6.0,NaN,NaN,3.0,1.0,NaN,NaN,NaN,NaN,NaN,6.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.0,
rate,NaN,NaN,NaN,NaN,NaN,NaN,8.5,NaN,NaN,-57.0,170.0,NaN,NaN,NaN,NaN,NaN,-32.666666666666664,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.631578947368421,
postMagnitude,51.0,NaN,NaN,NaN,NaN,NaN,-171.0,NaN,NaN,170.0,-196.0,NaN,NaN,NaN,NaN,NaN,202.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
postDuration,6.0,NaN,NaN,NaN,NaN,NaN,3.0,NaN,NaN,1.0,6.0,NaN,NaN,NaN,NaN,NaN,19.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
postRate,8.5,NaN,NaN,NaN,NaN,NaN,-57.0,NaN,NaN,170.0,-32.666666666666664,NaN,NaN,NaN,NaN,NaN,10.631578947368421,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
