id,year,value,magnitude,duration,rate,indexRegrowth,recoveryIndicator,regrowth60,regrowth80,regrowth100
0,1984,0.676,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0,2000,0.702,0.026,16,0.001625,-0.039,-1.500000000000002,3,4,8
0,2001,0.15,-0.552,1,-0.552,0.513,-0.929347826086957,2,3,9
0,2004,0.667,0.517,3,0.172333333333333,-0.013,-0.025145067698259,1,1,1
0,2025,0.725,0.058,21,0.002761904761905,NaN,NaN,NaN,NaN,NaN
