id,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
123250814,498,453,502,506,577,530,520,556,563,557,520,383,595,575,501,554,533,570,541,514,465,466,417,0,501,527,518,513,607,499,499,49,124,278,199,275
194613933,621,637,570,608,541,566,668,680,654,602,0,0,653,557,613,582,660,592,626,600,652,521,541,585,593,594,622,553,605,0,620,581,-121,-56,218,144
255154505,0,121,185,314,214,247,263,196,302,143,214,295,339,369,-219,47,207,154,178,162,211,217,0,266,291,385,0,387,504,505,554,460,564,537,505,574
217010282,623,575,598,601,0,598,628,603,632,596,676,660,706,672,691,678,0,688,547,619,643,653,409,350,393,0,428,490,583,534,0,519,487,552,549,549
87344468,56,-13,76,49,161,89,100,114,86,0,147,201,236,225,90,17,43,45,119,70,86,149,140,0,195,164,-105,-194,-168,-229,-77,0,-125,-83,0,0
331396818,687,693,0,653,700,637,605,626,673,0,659,599,689,645,632,678,662,694,0,598,609,564,538,557,615,660,0,575,598,612,0,0,646,633,590,587
568596483,0,-87,48,36,-8,54,158,133,0,285,97,408,142,176,0,50,0,13,184,170,253,167,185,156,245,0,0,0,0,308,285,52,4,108,152,47
167808751,671,652,647,0,709,639,0,642,709,648,0,0,680,658,0,530,647,0,516,0,0,-141,28,320,153,308,196,0,0,425,-109,-153,-105,-83,-71,-13
338889718,0,305,600,523,572,547,582,0,515,633,0,633,496,0,0,578,608,622,0,487,488,557,527,565,645,0,632,0,644,649,658,522,640,0,491,659
57167552,481,553,538,554,682,0,0,213,459,346,415,317,373,345,267,127,0,274,225,274,0,329,338,0,0,473,0,290,337,0,0,373,358,0,499,453
171232085,689,0,0,0,651,660,656,658,0,629,632,0,0,651,604,688,0,680,562,580,0,586,611,618,609,714,0,590,0,559,0,580,-328,149,0,260
169791602,551,538,541,0,0,626,617,552,626,575,596,591,598,584,604,0,0,0,0,536,0,519,0,-159,148,0,318,417,0,0,425,327,425,0,470,0
206844063,539,455,429,473,0,465,491,0,492,0,0,464,497,482,411,480,474,0,0,0,0,498,464,470,541,0,471,561,0,0,506,-195,-87,0,334,0
261339587,0,0,553,604,567,595,606,530,566,0,0,0,641,0,465,328,515,0,456,0,0,623,621,665,649,0,566,656,0,614,0,0,670,0,638,545
105434670,0,176,0,159,0,191,173,0,240,0,248,324,260,0,0,0,-142,-185,-153,-194,-218,-127,0,-64,-101,-65,0,0,0,0,0,50,23,0,0,0
96985663,0,109,0,0,0,190,0,220,201,219,256,0,306,304,0,283,214,253,0,260,0,-393,0,0,-59,0,-110,0,19,128,157,173,0,114,0,0
130536283,0,0,601,0,0,0,0,0,0,0,671,681,711,0,621,281,403,0,410,460,0,0,528,581,583,0,597,606,0,672,0,711,639,0,652,680
411453627,430,0,421,0,418,0,522,491,0,0,505,0,487,0,280,0,0,385,0,330,0,0,383,321,454,399,438,386,0,0,0,0,0,537,411,0
144818540,139,0,0,0,257,261,229,0,0,193,224,0,276,0,294,245,0,336,302,0,0,0,0,0,-180,-186,-199,0,0,0,0,-86,-103,0,0,77
201301642,599,0,0,0,629,0,0,0,548,0,0,555,629,0,495,-106,0,348,0,345,488,0,0,0,465,522,0,0,0,0,0,0,610,608,601,650
129786602,0,0,0,708,719,694,0,690,0,676,0,0,0,716,59,0,0,481,0,469,0,0,0,564,591,0,0,0,0,576,0,577,0,0,0,0
111593442,349,0,0,306,0,0,0,328,425,-206,0,0,0,0,-85,0,0,0,-2,-31,0,193,64,63,139,0,0,0,0,0,0,0,0,0,271,0
