id,year,value,magnitude,duration,rate,indexRegrowth,recoveryIndicator,regrowth60,regrowth80,regrowth100
968,2009,294,-84,8,-10.5,307.8888888888889,-3.665343915343916,1,1,1
968,2019,563,-70,9,-7.777777777777778,NaN,NaN,NaN,NaN,NaN
969,1996,701,-13,12,-1.083333333333333,-82,6.307692307692307,4,5,20
969,1997,23,-678,1,-678,233,-0.343657817109145,3,4,18
969,2002,256,-363,1,-363,325.5,-0.896694214876033,1,1,8
970,2001,559,-103,17,-6.058823529411764,-162,1.572815533980582,6,16,NaN
970,2002,8,-551,1,-551,401.0769230769231,-0.727907301410024,4,9,NaN
971,2002,492,-159,5,-31.8,51.200000000000045,-0.322012578616352,1,1,NaN
971,2004,519,-126,1,-126,40.33333333333337,-0.32010582010582,1,1,NaN
972,2015,-29,-694,1,-694,NaN,NaN,4,NaN,NaN
973,1988,101,-54,4,-13.5,102,-1.888888888888889,1,1,1
973,2009,35,-210,20,-10.5,148.11111111111111,-0.705291005291005,1,1,1
973,2019,97,-155,9,-17.22222222222222,NaN,NaN,NaN,NaN,NaN
974,1985,125,-192,1,-192,243.8235294117647,-1.269914215686274,4,4,4
974,2006,318,-54,17,-3.176470588235294,182.1818181818182,-3.373737373737374,1,1,1
974,2019,466,-47,11,-4.272727272727272,NaN,NaN,NaN,NaN,NaN
975,2019,299,-93,35,-2.657142857142857,NaN,NaN,NaN,NaN,NaN
976,2003,-149,-778,1,-778,448.38461538461536,-0.576329839825984,NaN,NaN,NaN
977,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
978,1994,630,-103,10,-10.3,-242,2.349514563106796,9,10,17
978,1995,-2,-632,1,-632,390,-0.617088607594937,1,8,9
979,1997,674,-46,13,-3.538461538461538,-59.73684210526312,1.298627002288329,1,3,NaN
979,1999,442,-232,2,-116,177.52631578947364,-0.765199637023593,1,1,NaN
980,2019,514,-22,35,-0.628571428571429,NaN,NaN,NaN,NaN,NaN
981,1998,457,-215,1,-215,29.285714285714278,-0.136212624584718,1,14,NaN
982,2019,305,-78,12,-6.5,NaN,NaN,NaN,NaN,NaN
983,2013,508,-203,2,-101.5,0,-0,1,NaN,NaN
984,2004,177,-128,20,-6.4,-282,2.203125,NaN,NaN,NaN
984,2005,-105,-282,1,-282,0,-0,NaN,NaN,NaN
985,2008,338,-73,9,-8.11111111111111,248,-3.397260273972603,1,1,1
985,2019,556,-45,9,-5,NaN,NaN,NaN,NaN,NaN
986,2010,-234,-965,1,-965,0,-0,NaN,NaN,NaN
987,2019,326,-82,23,-3.565217391304348,NaN,NaN,NaN,NaN,NaN
988,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
989,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
990,1989,294,-146,1,-146,168.33333333333337,-1.152968036529681,1,2,5
990,2007,233,-263,12,-21.916666666666668,183.45454545454544,-0.697545800207397,1,1,NaN
990,2019,286,-205,11,-18.636363636363637,NaN,NaN,NaN,NaN,NaN
991,1993,648,-122,9,-13.555555555555555,172.57142857142856,-1.414519906323185,1,1,2
991,2017,693,-141,21,-6.714285714285714,NaN,NaN,NaN,NaN,NaN
991,2018,-6,-699,1,-699,NaN,NaN,NaN,NaN,NaN
992,1990,-78,-36,6,-6,217.75,-6.048611111111111,11,11,NaN
992,2001,-41,-241,8,-30.125,218.76470588235293,-0.907737368806444,1,3,9
993,2014,-165,-453,1,-453,195,-0.43046357615894,NaN,NaN,NaN
994,2001,693,-9,17,-0.529411764705882,-100.875,11.208333333333334,2,2,NaN
994,2002,-49,-742,1,-742,648.5,-0.873989218328841,1,1,NaN
995,2000,-38,-365,1,-365,175.83333333333334,-0.481735159817352,7,9,11
995,2013,-184,-568,1,-568,831,-1.463028169014085,1,1,1
995,2019,632,-75,5,-15,NaN,NaN,NaN,NaN,NaN
996,1996,-54,-688,1,-688,390.5,-0.567587209302326,9,18,NaN
996,2019,394,-135,4,-33.75,NaN,NaN,NaN,NaN,NaN
997,1999,733,-3,15,-0.2,-192.5,64.16666666666667,1,8,NaN
997,2000,476,-257,1,-257,80.625,-0.313715953307393,1,7,16
997,2019,598,-136,3,-45.333333333333336,NaN,NaN,NaN,NaN,NaN
998,1998,-168,-646,1,-646,394.2857142857143,-0.610349402919062,9,15,NaN
998,2015,-158,-565,1,-565,NaN,NaN,NaN,NaN,NaN
999,2001,-114,-185,1,-185,184.85714285714286,-0.999227799227799,1,1,1
999,2009,-20,-212,7,-30.285714285714285,278,-1.311320754716981,1,1,1
999,2019,153,-189,9,-21,NaN,NaN,NaN,NaN,NaN
