id,year,index,magnitude,duration,rate,postMagnitude,postDuration,postRate
789,2019,479.0,-51.0,19.0,-2.6842105263157894,NaN,NaN,NaN
790,1984,416.0,NaN,NaN,NaN,0.0,13.0,0.0
790,1997,416.0,0.0,13.0,0.0,-391.0,1.0,-391.0
790,1998,25.0,-391.0,1.0,-391.0,219.0,1.0,219.0
790,1999,244.0,219.0,1.0,219.0,0.0,4.0,0.0
790,2003,244.0,0.0,4.0,0.0,245.0,1.0,245.0
790,2004,489.0,245.0,1.0,245.0,0.0,15.0,0.0
790,2019,489.0,0.0,15.0,0.0,NaN,NaN,NaN
791,1984,515.0,NaN,NaN,NaN,0.0,6.0,0.0
791,1990,515.0,0.0,6.0,0.0,-466.0,1.0,-466.0
791,1991,49.0,-466.0,1.0,-466.0,390.0,1.0,390.0
791,1992,439.0,390.0,1.0,390.0,0.0,27.0,0.0
791,2019,439.0,0.0,27.0,0.0,NaN,NaN,NaN
792,1984,690.0,NaN,NaN,NaN,-17.0,22.0,-0.7727272727272727
792,2006,673.0,-17.0,22.0,-0.7727272727272727,-274.0,2.0,-137.0
792,2008,399.0,-274.0,2.0,-137.0,245.0,1.0,245.0
792,2009,644.0,245.0,1.0,245.0,40.0,10.0,4.0
792,2019,684.0,40.0,10.0,4.0,NaN,NaN,NaN
793,1984,336.0,NaN,NaN,NaN,173.0,12.0,14.416666666666666
793,1996,509.0,173.0,12.0,14.416666666666666,-139.0,2.0,-69.5
793,1998,370.0,-139.0,2.0,-69.5,130.0,8.0,16.25
793,2006,500.0,130.0,8.0,16.25,-473.0,1.0,-473.0
793,2007,27.0,-473.0,1.0,-473.0,405.0,2.0,202.5
793,2009,432.0,405.0,2.0,202.5,30.0,10.0,3.0
793,2019,462.0,30.0,10.0,3.0,NaN,NaN,NaN
794,1984,476.0,NaN,NaN,NaN,-7.0,25.0,-0.28
794,2009,469.0,-7.0,25.0,-0.28,-685.0,1.0,-685.0
794,2010,-216.0,-685.0,1.0,-685.0,439.0,2.0,219.5
794,2012,223.0,439.0,2.0,219.5,-12.0,7.0,-1.7142857142857142
794,2019,211.0,-12.0,7.0,-1.7142857142857142,NaN,NaN,NaN
795,1984,497.0,NaN,NaN,NaN,91.0,10.0,9.1
795,1994,588.0,91.0,10.0,9.1,-808.0,1.0,-808.0
795,1995,-220.0,-808.0,1.0,-808.0,524.0,2.0,262.0
795,1997,304.0,524.0,2.0,262.0,266.0,22.0,12.090909090909092
795,2019,570.0,266.0,22.0,12.090909090909092,NaN,NaN,NaN
796,1984,-126.0,NaN,NaN,NaN,240.0,13.0,18.46153846153846
796,1997,114.0,240.0,13.0,18.46153846153846,-262.0,2.0,-131.0
796,1999,-148.0,-262.0,2.0,-131.0,261.0,6.0,43.5
796,2005,113.0,261.0,6.0,43.5,194.0,14.0,13.857142857142858
796,2019,307.0,194.0,14.0,13.857142857142858,NaN,NaN,NaN
797,1984,655.0,NaN,NaN,NaN,-1.0,14.0,-0.07142857142857142
797,1998,654.0,-1.0,14.0,-0.07142857142857142,-272.0,1.0,-272.0
797,1999,382.0,-272.0,1.0,-272.0,279.0,4.0,69.75
797,2003,661.0,279.0,4.0,69.75,-179.0,10.0,-17.9
797,2013,482.0,-179.0,10.0,-17.9,274.0,1.0,274.0
797,2014,756.0,274.0,1.0,274.0,-108.0,5.0,-21.6
797,2019,648.0,-108.0,5.0,-21.6,NaN,NaN,NaN
798,1984,24.0,NaN,NaN,NaN,212.0,3.0,70.66666666666667
798,1987,236.0,212.0,3.0,70.66666666666667,-352.0,1.0,-352.0
798,1988,-116.0,-352.0,1.0,-352.0,446.0,3.0,148.66666666666666
798,1991,330.0,446.0,3.0,148.66666666666666,-475.0,10.0,-47.5
798,2001,-145.0,-475.0,10.0,-47.5,481.0,1.0,481.0
798,2002,336.0,481.0,1.0,481.0,-257.0,17.0,-15.117647058823529
798,2019,79.0,-257.0,17.0,-15.117647058823529,NaN,NaN,NaN
799,1984,640.0,NaN,NaN,NaN,-32.0,13.0,-2.4615384615384617
799,1997,608.0,-32.0,13.0,-2.4615384615384617,-302.0,3.0,-100.66666666666667
799,2000,306.0,-302.0,3.0,-100.66666666666667,277.0,1.0,277.0
799,2001,583.0,277.0,1.0,277.0,-153.0,1.0,-153.0
799,2002,430.0,-153.0,1.0,-153.0,264.0,2.0,132.0
799,2004,694.0,264.0,2.0,132.0,-105.0,15.0,-7.0
799,2019,589.0,-105.0,15.0,-7.0,NaN,NaN,NaN
