# Running on file ./src/test/resources/it/unibo/c2c/input.csv with args: maxError=75.0, maxSegments=6, startYear=1984, endYear=2019, infill=true, spikesTolerance=0.85, revertBand=false, negativeMagnitudeOnly=false
id, year, value, magnitude, duration, rate, postMagnitude, postDuration, postRate
21,1984,349,NaN,NaN,NaN,76,8,9.5
21,1992,425,76,8,9.5,-631,1,-631
21,1993,-206,-631,1,-631,175,11,15.909090909090908
21,2004,-31,175,11,15.909090909090908,224,1,224
21,2005,193,224,1,224,78,14,5.571428571428571
21,2019,271,78,14,5.571428571428571,NaN,NaN,NaN
22,1984,571,NaN,NaN,NaN,-151,35,-4.314285714285714
22,2019,420,-151,35,-4.314285714285714,NaN,NaN,NaN
23,1984,-69,NaN,NaN,NaN,52,26,2
23,2010,-17,52,26,2,211,1,211
23,2011,194,211,1,211,48,2,24
23,2013,242,48,2,24,-285,1,-285
23,2014,-43,-285,1,-285,0,5,0
23,2019,-43,0,5,0,NaN,NaN,NaN
24,1984,490,NaN,NaN,NaN,206,9,22.88888888888889
24,1993,696,206,9,22.88888888888889,-34,26,-1.307692307692308
24,2019,662,-34,26,-1.307692307692308,NaN,NaN,NaN
25,1984,760,NaN,NaN,NaN,-39,22,-1.772727272727273
25,2006,721,-39,22,-1.772727272727273,-362,1,-362
25,2007,359,-362,1,-362,293,1,293
25,2008,652,293,1,293,-70,2,-35
25,2010,582,-70,2,-35,204,2,102
25,2012,786,204,2,102,0,7,0
25,2019,786,0,7,0,NaN,NaN,NaN
26,1984,554,NaN,NaN,NaN,-57,10,-5.7
26,1994,497,-57,10,-5.7,-661,1,-661
26,1995,-164,-661,1,-661,480,6,80
26,2001,316,480,6,80,0,10,0
26,2011,316,0,10,0,153,1,153
26,2012,469,153,1,153,0,7,0
26,2019,469,0,7,0,NaN,NaN,NaN
27,1984,90,NaN,NaN,NaN,135,32,4.21875
27,2016,225,135,32,4.21875,-245,1,-245
27,2017,-20,-245,1,-245,0,2,0
27,2019,-20,0,2,0,NaN,NaN,NaN
28,1984,518,NaN,NaN,NaN,-47,9,-5.222222222222222
28,1993,471,-47,9,-5.222222222222222,-631,1,-631
28,1994,-160,-631,1,-631,441,1,441
28,1995,281,441,1,441,0,12,0
28,2007,281,0,12,0,314,2,157
28,2009,595,314,2,157,73,10,7.3
28,2019,668,73,10,7.3,NaN,NaN,NaN
29,1984,572,NaN,NaN,NaN,30,35,0.857142857142857
29,2019,602,30,35,0.857142857142857,NaN,NaN,NaN
30,1984,30,NaN,NaN,NaN,174,35,4.971428571428572
30,2019,204,174,35,4.971428571428572,NaN,NaN,NaN
31,1984,648,NaN,NaN,NaN,36,18,2
31,2002,684,36,18,2,-224,1,-224
31,2003,460,-224,1,-224,106,16,6.625
31,2019,566,106,16,6.625,NaN,NaN,NaN
32,1984,436,NaN,NaN,NaN,-71,35,-2.028571428571428
32,2019,365,-71,35,-2.028571428571428,NaN,NaN,NaN
33,1984,628,NaN,NaN,NaN,-110,2,-55
33,1986,518,-110,2,-55,147,2,73.5
33,1988,665,147,2,73.5,-142,10,-14.2
33,1998,523,-142,10,-14.2,-695,1,-695
33,1999,-172,-695,1,-695,438,6,73
33,2005,266,438,6,73,94,14,6.714285714285714
33,2019,360,94,14,6.714285714285714,NaN,NaN,NaN
34,1984,518,NaN,NaN,NaN,82,13,6.307692307692307
34,1997,600,82,13,6.307692307692307,-330,2,-165
34,1999,270,-330,2,-165,301,4,75.25
34,2003,571,301,4,75.25,-174,2,-87
34,2005,397,-174,2,-87,277,4,69.25
34,2009,674,277,4,69.25,-111,10,-11.1
34,2019,563,-111,10,-11.1,NaN,NaN,NaN
35,1984,315,NaN,NaN,NaN,-686,1,-686
35,1985,-371,-686,1,-686,455,3,151.66666666666666
35,1988,84,455,3,151.66666666666666,237,29,8.172413793103448
35,2017,321,237,29,8.172413793103448,-255,1,-255
35,2018,66,-255,1,-255,0,1,0
35,2019,66,0,1,0,NaN,NaN,NaN
36,1984,578,NaN,NaN,NaN,-13,19,-0.684210526315789
36,2003,565,-13,19,-0.684210526315789,-626,1,-626
36,2004,-61,-626,1,-626,546,10,54.6
36,2014,485,546,10,54.6,-400,1,-400
36,2015,85,-400,1,-400,238,1,238
36,2016,323,238,1,238,99,3,33
36,2019,422,99,3,33,NaN,NaN,NaN
37,1984,625,NaN,NaN,NaN,38,13,2.923076923076923
37,1997,663,38,13,2.923076923076923,-439,1,-439
37,1998,224,-439,1,-439,259,2,129.5
37,2000,483,259,2,129.5,156,19,8.210526315789474
37,2019,639,156,19,8.210526315789474,NaN,NaN,NaN
38,1984,594,NaN,NaN,NaN,29,16,1.8125
38,2000,623,29,16,1.8125,-898,1,-898
38,2001,-275,-898,1,-898,538,2,269
38,2003,263,538,2,269,256,3,85.33333333333333
38,2006,519,256,3,85.33333333333333,177,13,13.615384615384615
38,2019,696,177,13,13.615384615384615,NaN,NaN,NaN
39,1984,532,NaN,NaN,NaN,5,14,0.357142857142857
39,1998,537,5,14,0.357142857142857,-1043,1,-1043
39,1999,-506,-1043,1,-1043,252,1,252
