# Running class it.unibo.c2c.CommandLineMain with args: [--negativeMagnitudeOnly, ./src/test/resources/it/unibo/c2c/input.csv]
# Running on file ./src/test/resources/it/unibo/c2c/input.csv with args: maxError=75.0, maxSegments=6, startYear=1984, endYear=2019, infill=true, spikesTolerance=0.85, revertBand=false, negativeMagnitudeOnly=true
id, year, value, magnitude, duration, rate, postMagnitude, postDuration, postRate
481,2019,154,-121,6,-20.166666666666668,NaN,NaN,NaN
482,1995,60,-524,1,-524,250,16,15.625
482,2019,510,-16,7,-2.285714285714286,NaN,NaN,NaN
483,1985,209,-161,1,-161,306,1,306
483,2000,127,-623,2,-311.5,273,2,136.5
484,2014,-355,-884,1,-884,548,1,548
485,2001,194,-441,1,-441,256,18,14.222222222222221
486,2001,-37,-205,1,-205,164,8,20.5
486,2011,192,-189,1,-189,-84,8,-10.5
486,2019,108,-84,8,-10.5,NaN,NaN,NaN
487,2014,570,-47,30,-1.566666666666667,-573,1,-573
487,2015,-3,-573,1,-573,237,1,237
488,2019,-2,-97,21,-4.619047619047619,NaN,NaN,NaN
489,2019,227,-2,6,-0.333333333333333,NaN,NaN,NaN
491,2019,133,-39,35,-1.114285714285714,NaN,NaN,NaN
492,2012,227,-328,1,-328,398,1,398
493,1996,513,-186,1,-186,110,1,110
494,2019,128,-8,35,-0.228571428571429,NaN,NaN,NaN
495,2002,-424,-1102,1,-1102,860,1,860
496,1987,176,-298,1,-298,-60,3,-20
496,1990,116,-60,3,-20,340,1,340
496,2004,213,-243,13,-18.692307692307693,240,15,16
497,1987,438,-126,3,-42,175,1,175
497,2001,529,-84,13,-6.461538461538462,-802,1,-802
497,2002,-273,-802,1,-802,466,4,116.5
498,2006,-298,-553,1,-553,380,13,29.23076923076923
499,2004,456,-221,8,-27.625,163,3,54.333333333333336
499,2011,336,-283,4,-70.75,307,1,307
499,2019,632,-11,7,-1.571428571428571,NaN,NaN,NaN
500,1988,-47,-132,4,-33,285,1,285
500,2000,62,-612,5,-122.4,509,8,63.625
500,2019,268,-303,11,-27.545454545454547,NaN,NaN,NaN
501,2014,643,-19,30,-0.633333333333333,-489,1,-489
501,2015,154,-489,1,-489,-253,1,-253
501,2016,-99,-253,1,-253,264,3,88
502,1997,401,-264,1,-264,223,4,55.75
502,2019,599,-25,18,-1.388888888888889,NaN,NaN,NaN
503,1985,-15,-100,1,-100,297,23,12.91304347826087
503,2009,-237,-519,1,-519,213,10,21.3
504,2003,577,-168,1,-168,155,16,9.6875
505,2006,-185,-513,1,-513,273,13,21
506,1991,259,-276,7,-39.42857142857143,300,3,100
506,2002,360,-240,1,-240,331,4,82.75
506,2019,678,-13,13,-1,NaN,NaN,NaN
507,1992,345,-389,1,-389,169,1,169
507,2017,571,-190,1,-190,252,2,126
508,2010,404,-47,26,-1.807692307692308,-447,1,-447
508,2011,-43,-447,1,-447,195,1,195
508,2019,127,-25,7,-3.571428571428572,NaN,NaN,NaN
509,1998,402,-181,13,-13.923076923076923,193,3,64.33333333333333
510,1995,-409,-1009,1,-1009,596,1,596
511,1993,339,-379,1,-379,6,8,0.75
511,2002,9,-336,1,-336,585,11,53.18181818181818
511,2019,301,-293,6,-48.833333333333336,NaN,NaN,NaN
512,2010,485,-48,26,-1.846153846153846,-371,1,-371
512,2011,114,-371,1,-371,164,1,164
513,2006,-467,-959,1,-959,672,1,672
515,1992,-88,-715,1,-715,27,4,6.75
516,2016,308,-373,1,-373,93,3,31
517,2013,367,-191,1,-191,73,6,12.166666666666666
519,2008,231,-204,1,-204,61,11,5.545454545454546
520,1999,-109,-133,14,-9.5,303,2,151.5
520,2019,94,-100,18,-5.555555555555555,NaN,NaN,NaN
521,2002,321,-186,1,-186,261,1,261
521,2019,493,-89,16,-5.5625,NaN,NaN,NaN
522,1993,-177,-815,1,-815,657,1,657
523,2003,370,-116,19,-6.105263157894737,-232,1,-232
523,2004,138,-232,1,-232,48,15,3.2
524,2008,-11,-197,1,-197,51,11,4.636363636363637
526,2012,267,-25,28,-0.892857142857143,-180,1,-180
526,2013,87,-180,1,-180,0,6,0
527,2019,499,-139,35,-3.971428571428572,NaN,NaN,NaN
528,2004,476,-173,2,-86.5,94,10,9.4
528,2016,359,-211,2,-105.5,112,3,37.333333333333336
529,1999,-207,-843,1,-843,342,2,171
530,1999,406,-344,2,-172,161,20,8.05
531,2008,-240,-461,1,-461,295,7,42.142857142857146
531,2019,-16,-71,4,-17.75,NaN,NaN,NaN
532,1990,-99,-46,6,-7.666666666666667,208,1,208
532,2001,-265,-374,10,-37.4,346,3,115.33333333333333
532,2019,-21,-102,15,-6.8,NaN,NaN,NaN
533,2013,393,-265,1,-265,-84,2,-42
533,2015,309,-84,2,-42,187,1,187
533,2019,395,-101,3,-33.666666666666664,NaN,NaN,NaN
534,2006,401,-158,1,-158,0,4,0
534,2011,137,-264,1,-264,144,8,18
535,2015,-330,-914,1,-914,586,1,586
536,1993,-256,-586,1,-586,-55,1,-55
536,1994,-311,-55,1,-55,269,1,269
537,2012,111,-142,16,-8.875,-265,1,-265
537,2013,-154,-265,1,-265,159,6,26.5
538,1985,375,-494,1,-494,0,6,0
538,2000,621,-226,8,-28.25,-424,1,-424
538,2001,197,-424,1,-424,565,18,31.38888888888889
539,2002,-11,-192,16,-12,292,1,292
539,2019,73,-279,3,-93,NaN,NaN,NaN
540,1985,54,-258,1,-258,423,30,14.1
540,2016,280,-197,1,-197,16,3,5.333333333333333
541,1996,164,-435,1,-435,197,1,197
541,2015,228,-342,1,-342,296,4,74
542,2010,336,-96,9,-10.666666666666666,-733,1,-733
542,2011,-397,-733,1,-733,381,2,190.5
543,2019,590,-112,35,-3.2,NaN,NaN,NaN
544,2014,562,-86,30,-2.866666666666667,-844,1,-844
544,2015,-282,-844,1,-844,645,1,645
545,2000,343,-276,8,-34.5,264,19,13.894736842105264
546,1985,233,-322,1,-322,-326,4,-81.5
546,1989,-93,-326,4,-81.5,702,1,702
546,2009,443,-166,19,-8.736842105263158,511,1,511
546,2019,827,-127,9,-14.11111111111111,NaN,NaN,NaN
547,1998,419,-205,1,-205,132,1,132
548,1992,-36,-46,8,-5.75,781,2,390.5
548,2000,563,-182,6,-30.333333333333332,-679,1,-679
548,2001,-116,-679,1,-679,711,9,79
548,2019,297,-298,9,-33.111111111111114,NaN,NaN,NaN
549,2006,-493,-1027,1,-1027,555,1,555
550,2010,564,-27,26,-1.038461538461539,-702,1,-702
550,2011,-138,-702,1,-702,392,2,196
550,2019,239,-15,6,-2.5,NaN,NaN,NaN
551,2019,583,-81,35,-2.314285714285715,NaN,NaN,NaN
552,2019,9,-99,25,-3.96,NaN,NaN,NaN
553,2019,455,-116,35,-3.314285714285715,NaN,NaN,NaN
554,2007,253,-245,1,-245,0,12,0
555,2011,222,-370,1,-370,121,8,15.125
556,1999,114,-174,1,-174,0,7,0
556,2007,-181,-295,1,-295,248,1,248
557,2017,537,-79,33,-2.393939393939394,-217,1,-217
557,2018,320,-217,1,-217,84,1,84
558,2019,441,-16,34,-0.470588235294118,NaN,NaN,NaN
559,1999,287,-174,2,-87,-11,20,-0.55
559,2019,276,-11,20,-0.55,NaN,NaN,NaN
561,1992,-166,-686,3,-228.66666666666666,793,1,793
561,2002,29,-598,9,-66.44444444444444,603,2,301.5
561,2019,386,-246,15,-16.4,NaN,NaN,NaN
