year,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,
index,628.0,NaN,518.0,NaN,665.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,523.0,-172.0,NaN,NaN,NaN,NaN,NaN,266.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,360.0,
magnitude,NaN,NaN,-110.0,NaN,147.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-142.0,-695.0,NaN,NaN,NaN,NaN,NaN,438.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,94.0,
duration,NaN,NaN,2.0,NaN,2.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.0,1.0,NaN,NaN,NaN,NaN,NaN,6.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.0,
rate,NaN,NaN,-55.0,NaN,73.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-14.2,-695.0,NaN,NaN,NaN,NaN,NaN,73.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.714285714285714,
postMagnitude,-110.0,NaN,147.0,NaN,-142.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-695.0,438.0,NaN,NaN,NaN,NaN,NaN,94.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
postDuration,2.0,NaN,2.0,NaN,10.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0,6.0,NaN,NaN,NaN,NaN,NaN,14.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
postRate,-55.0,NaN,73.5,NaN,-14.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-695.0,73.0,NaN,NaN,NaN,NaN,NaN,6.714285714285714,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
