year,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,
index,604.0,NaN,NaN,NaN,NaN,NaN,NaN,734.0,345.0,514.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,761.0,571.0,NaN,823.0,
magnitude,NaN,NaN,NaN,NaN,NaN,NaN,NaN,130.0,-389.0,169.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,247.0,-190.0,NaN,252.0,
duration,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.0,1.0,1.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.0,1.0,NaN,2.0,
rate,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18.571428571428573,-389.0,169.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.73913043478261,-190.0,NaN,126.0,
postMagnitude,130.0,NaN,NaN,NaN,NaN,NaN,NaN,-389.0,169.0,247.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-190.0,252.0,NaN,NaN,
postDuration,7.0,NaN,NaN,NaN,NaN,NaN,NaN,1.0,1.0,23.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0,2.0,NaN,NaN,
postRate,18.571428571428573,NaN,NaN,NaN,NaN,NaN,NaN,-389.0,169.0,10.73913043478261,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-190.0,126.0,NaN,NaN,
