year,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,
index,568.0,NaN,NaN,NaN,NaN,NaN,554.0,-439.0,NaN,NaN,NaN,-335.0,NaN,135.0,NaN,NaN,NaN,NaN,417.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,423.0,
magnitude,NaN,NaN,NaN,NaN,NaN,NaN,-14.0,-993.0,NaN,NaN,NaN,104.0,NaN,470.0,NaN,NaN,NaN,NaN,282.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.0,
duration,NaN,NaN,NaN,NaN,NaN,NaN,6.0,1.0,NaN,NaN,NaN,4.0,NaN,2.0,NaN,NaN,NaN,NaN,5.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17.0,
rate,NaN,NaN,NaN,NaN,NaN,NaN,-2.3333333333333335,-993.0,NaN,NaN,NaN,26.0,NaN,235.0,NaN,NaN,NaN,NaN,56.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.35294117647058826,
postMagnitude,-14.0,NaN,NaN,NaN,NaN,NaN,-993.0,104.0,NaN,NaN,NaN,470.0,NaN,282.0,NaN,NaN,NaN,NaN,6.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
postDuration,6.0,NaN,NaN,NaN,NaN,NaN,1.0,4.0,NaN,NaN,NaN,2.0,NaN,5.0,NaN,NaN,NaN,NaN,17.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
postRate,-2.3333333333333335,NaN,NaN,NaN,NaN,NaN,-993.0,26.0,NaN,NaN,NaN,235.0,NaN,56.4,NaN,NaN,NaN,NaN,0.35294117647058826,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
