year,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,
index,728.0,NaN,NaN,NaN,NaN,596.0,NaN,NaN,NaN,NaN,NaN,778.0,366.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,394.0,NaN,NaN,NaN,630.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,719.0,
magnitude,NaN,NaN,NaN,NaN,NaN,-132.0,NaN,NaN,NaN,NaN,NaN,182.0,-412.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.0,NaN,NaN,NaN,236.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89.0,
duration,NaN,NaN,NaN,NaN,NaN,5.0,NaN,NaN,NaN,NaN,NaN,6.0,1.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.0,NaN,NaN,NaN,4.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.0,
rate,NaN,NaN,NaN,NaN,NaN,-26.4,NaN,NaN,NaN,NaN,NaN,30.333333333333332,-412.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.111111111111111,NaN,NaN,NaN,59.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.9,
postMagnitude,-132.0,NaN,NaN,NaN,NaN,182.0,NaN,NaN,NaN,NaN,NaN,-412.0,28.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,236.0,NaN,NaN,NaN,89.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
postDuration,5.0,NaN,NaN,NaN,NaN,6.0,NaN,NaN,NaN,NaN,NaN,1.0,9.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.0,NaN,NaN,NaN,10.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
postRate,-26.4,NaN,NaN,NaN,NaN,30.333333333333332,NaN,NaN,NaN,NaN,NaN,-412.0,3.111111111111111,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,59.0,NaN,NaN,NaN,8.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
